round_num,client_id,is_malicious,was_selected,local_loss,gradient_norm,reputation_score,beta_params
1,4,1,1,1.506511127286487,1.828920841217041,,"[1, 1]"
1,27,0,1,1.7689640197753906,2.471437931060791,,"[1, 1]"
1,9,0,1,1.5954913612206776,2.6903481483459473,,"[1, 1]"
1,36,0,1,1.6100288598433785,1.8337854146957397,,"[1, 1]"
1,17,0,1,1.1766706396551694,3.920743703842163,,"[1, 1]"
1,26,1,1,1.6972838416244045,2.731846570968628,,"[1, 1]"
1,29,0,1,1.3807369692572231,2.5065314769744873,,"[1, 1]"
1,13,0,1,1.033733180819488,2.7385809421539307,,"[1, 1]"
1,22,1,1,1.5761622697114945,2.1902148723602295,,"[1, 1]"
1,8,1,1,1.6975914690229628,1.3957180976867676,,"[1, 1]"
2,9,0,1,1.6126099359989166,2.582146406173706,,"[2, 1]"
2,22,1,1,1.3630479031801224,2.1933279037475586,,"[2, 1]"
2,7,0,1,0.9370654795851027,3.0106709003448486,,"[1, 1]"
2,44,0,1,1.3975177182601048,2.3649210929870605,,"[1, 1]"
2,43,0,1,1.5419540447347304,1.9061185121536255,,"[1, 1]"
2,21,1,1,1.7609108742545634,2.1853652000427246,,"[1, 1]"
2,2,0,1,1.4390113288706,2.9713776111602783,,"[1, 1]"
2,40,0,1,1.3033131599426269,2.7239463329315186,,"[1, 1]"
2,3,0,1,1.6144467409700156,2.499553918838501,,"[1, 1]"
2,37,0,1,1.476204697902386,3.2356910705566406,,"[1, 1]"
3,37,0,1,1.179579488436381,3.0767252445220947,,"[2, 1]"
3,29,0,1,1.3254690992421116,2.6870453357696533,,"[2, 1]"
3,46,1,1,1.5482457589535485,3.570882797241211,,"[1, 1]"
3,33,0,1,1.6469699220223861,3.0971834659576416,,"[1, 1]"
3,40,0,1,1.2689889662606375,3.235621690750122,,"[2, 1]"
3,14,0,1,1.331343670686086,3.1770102977752686,,"[1, 1]"
3,38,1,1,1.5258996082676781,2.1953351497650146,,"[1, 1]"
3,10,0,1,1.6299843430519103,2.3834903240203857,,"[1, 1]"
3,23,0,1,1.5280296754837037,3.110549211502075,,"[1, 1]"
3,2,0,1,1.0854845829985358,2.862189769744873,,"[2, 1]"
4,22,1,1,1.3744807332754134,2.5146329402923584,,"[3, 1]"
4,35,1,1,1.3409378591037933,2.5905942916870117,,"[1, 1]"
4,13,0,1,0.9614258452159602,3.5184099674224854,,"[2, 1]"
4,25,0,1,0.9091551389013018,1.5547534227371216,,"[1, 1]"
4,26,1,1,1.555911695957184,3.1352078914642334,,"[2, 1]"
4,3,0,1,1.2310095861554147,2.79813814163208,,"[2, 1]"
4,37,0,1,1.0194106271633736,2.90828537940979,,"[3, 1]"
4,24,0,1,0.9690807189002182,2.849332094192505,,"[1, 1]"
4,9,0,1,1.3804154400030773,2.971012592315674,,"[3, 1]"
4,47,0,1,0.9234538346529007,3.157573699951172,,"[1, 1]"
5,2,0,1,0.8367257207632065,2.593393325805664,,"[3, 1]"
5,9,0,1,1.6608715677261352,3.458491325378418,,"[4, 1]"
5,48,0,1,1.0445742741544195,3.6507537364959717,,"[1, 1]"
5,3,0,1,1.2414064805954694,2.975557327270508,,"[3, 1]"
5,11,0,1,1.000080530480905,3.1877660751342773,,"[1, 1]"
5,21,1,1,1.614910736504723,2.7651755809783936,,"[2, 1]"
5,49,0,1,1.3373125822455794,4.154690265655518,,"[1, 1]"
5,7,0,1,0.8246887405307926,3.3906068801879883,,"[2, 1]"
5,23,0,1,1.3332641424451555,3.10267972946167,,"[2, 1]"
5,22,1,1,1.427733502984047,3.6354756355285645,,"[4, 1]"
6,35,1,1,1.1547913074493408,2.421873092651367,,"[2, 1]"
6,39,0,1,0.46113273903335394,2.6438610553741455,,"[1, 1]"
6,26,1,1,1.377691852685177,2.887212038040161,,"[3, 1]"
6,47,0,1,0.940585707206475,2.775590181350708,,"[2, 1]"
6,30,0,1,1.577329817940207,2.04817795753479,,"[1, 1]"
6,29,0,1,1.1727461473695162,3.0379676818847656,,"[2, 2]"
6,21,1,1,0.9946386796586654,1.9382779598236084,,"[3, 1]"
6,27,0,1,1.625509036540985,2.573381185531616,,"[2, 1]"
6,18,0,1,0.954834899922897,3.862201690673828,,"[1, 1]"
6,19,0,1,1.176847370933084,2.331317663192749,,"[1, 1]"
7,33,0,1,1.2554066555066543,2.1443777084350586,,"[2, 1]"
7,47,0,1,0.7934634138094752,2.850642442703247,,"[3, 1]"
7,2,0,1,0.7472262168472463,2.231393337249756,,"[3, 2]"
7,23,0,1,1.2972574639320373,3.1110317707061768,,"[3, 1]"
7,19,0,1,1.1518320069593542,2.2522358894348145,,"[2, 1]"
7,16,0,1,1.2710155725479126,3.619476079940796,,"[1, 1]"
7,40,0,1,0.9994538797651018,3.0341403484344482,,"[3, 1]"
7,22,1,1,1.2544671541452408,2.5712730884552,,"[5, 1]"
7,24,0,1,0.9998964533661351,3.0650384426116943,,"[2, 1]"
7,14,0,1,1.2052074934497023,3.0455243587493896,,"[2, 1]"
8,34,0,1,1.18961845446378,3.7621922492980957,,"[1, 1]"
8,17,0,1,1.1080408257596632,4.15927267074585,,"[1, 2]"
8,27,0,1,1.501220579147339,3.0591461658477783,,"[3, 1]"
8,24,0,1,0.9187908282785705,2.9657347202301025,,"[3, 1]"
8,39,0,1,0.546090023258799,3.2179009914398193,,"[2, 1]"
8,12,0,1,1.2817693427630834,2.912201166152954,,"[1, 1]"
8,23,0,1,1.3128622337750027,2.9264798164367676,,"[4, 1]"
8,40,0,1,1.0212587706531797,3.0383994579315186,,"[4, 1]"
8,11,0,1,1.0107693271203475,2.9864256381988525,,"[2, 1]"
8,48,0,1,1.023200476169586,3.4774534702301025,,"[2, 1]"
9,12,0,1,1.0778889696938652,2.730771780014038,,"[2, 1]"
9,41,0,1,1.266150321563085,2.9747793674468994,,"[1, 1]"
9,39,0,1,0.42370422572681776,2.51259183883667,,"[3, 1]"
9,43,0,1,1.1351419967763565,2.2588613033294678,,"[2, 1]"
9,32,1,1,1.424410355836153,3.044469118118286,,"[1, 1]"
9,40,0,1,0.8825053542852401,3.033766269683838,,"[5, 1]"
9,14,0,1,1.1079599853717919,3.148632764816284,,"[3, 1]"
9,3,0,1,1.0761213643476366,2.853952407836914,,"[4, 1]"
9,35,1,1,1.2760477860768635,2.9340741634368896,,"[3, 1]"
9,27,0,1,0.8463277785778046,2.5893547534942627,,"[4, 1]"
10,5,0,1,1.1515315911986612,3.0685694217681885,,"[1, 1]"
10,12,0,1,1.2432348135539464,3.122025728225708,,"[3, 1]"
10,10,0,1,1.3267031610012054,2.7506608963012695,,"[1, 2]"
10,40,0,1,1.123931438922882,2.7876200675964355,,"[6, 1]"
10,21,1,1,1.4253963000634138,2.5725138187408447,,"[3, 2]"
10,3,0,1,1.2978402987122535,3.0815162658691406,,"[5, 1]"
10,44,0,1,1.023466171668126,2.445828914642334,,"[2, 1]"
10,14,0,1,1.0831243150161973,3.0781619548797607,,"[4, 1]"
10,22,1,1,1.3383493024110793,2.7570676803588867,,"[6, 1]"
10,20,0,1,1.0782972088226905,3.3012654781341553,,"[1, 1]"
11,40,0,1,1.0468075815268925,3.036280870437622,,"[7, 1]"
11,24,0,1,1.125283855561054,3.6292152404785156,,"[4, 1]"
11,48,0,1,1.105761118772182,3.7031381130218506,,"[2, 2]"
11,45,0,1,1.2518594268532026,3.976198196411133,,"[1, 1]"
11,9,0,1,1.4781662770112356,3.4782490730285645,,"[5, 1]"
11,31,1,1,1.0924335853411602,2.5041110515594482,,"[1, 1]"
11,27,0,1,1.5021491494178771,2.9928219318389893,,"[5, 1]"
11,28,0,1,1.3525807230472564,3.9921910762786865,,"[1, 1]"
11,47,0,1,0.8334778908836215,3.0393857955932617,,"[4, 1]"
11,20,0,1,1.2554650856898382,3.464350938796997,,"[1, 2]"
12,45,0,1,0.9782719272233191,2.760077953338623,,"[2, 1]"
12,27,0,1,0.8177138092517853,2.591768503189087,,"[6, 1]"
12,40,0,1,0.924456296137401,3.1341426372528076,,"[8, 1]"
12,3,0,1,1.1484164904803038,2.9080145359039307,,"[6, 1]"
12,35,1,1,1.2900325582140968,2.9659132957458496,,"[4, 1]"
12,33,0,1,1.2288890128785914,2.605299472808838,,"[2, 2]"
12,23,0,1,1.3453401378222873,3.089689016342163,,"[5, 1]"
12,6,0,1,1.259150657430291,3.065685272216797,,"[1, 1]"
12,47,0,1,0.8422353752349553,3.228752374649048,,"[5, 1]"
