round_num,client_id,is_malicious,was_selected,local_loss,gradient_norm,reputation_score,beta_params
1,38,0,1,1.7412787159283956,1.8906346559524536,,
1,47,0,1,1.0676761133106132,2.800217390060425,,
1,42,1,1,1.2834161269664763,1.8721165657043457,,
1,1,0,1,1.613596802491408,2.390584707260132,,
1,3,1,1,1.5297960471361876,2.655046224594116,,
1,20,1,1,1.463363500741812,3.0073063373565674,,
1,46,0,1,1.6026199585979892,3.2934658527374268,,
1,39,0,1,0.6534136917246015,2.2789816856384277,,
1,43,1,1,1.592377628999598,1.7249764204025269,,
1,19,0,1,1.5615715798209695,1.8984729051589966,,
2,23,0,1,1.4032480352265495,3.1303658485412598,,
2,16,1,1,1.4453081580499807,3.6440269947052,,
2,13,0,1,0.8362631768715091,2.8724019527435303,,
2,9,0,1,1.336483428478241,2.874776840209961,,
2,8,0,1,1.3851774122979905,1.7216545343399048,,
2,48,0,1,1.1406072772563771,3.762968063354492,,
2,2,0,1,0.9158919740806927,2.3924176692962646,,
2,0,1,1,1.5206829500198364,2.254260540008545,,
2,35,0,1,1.1816340366999307,2.256540298461914,,
2,28,1,1,1.4271111624240875,3.8032386302948,,
3,49,1,1,1.206340174321775,4.1649651527404785,,
3,32,0,1,0.8954169068485498,2.080068826675415,,
3,14,0,1,0.9590231671477809,3.2159597873687744,,
3,37,0,1,0.9885362883408865,3.3286798000335693,,
3,27,1,1,1.4048715534210205,2.8750197887420654,,
3,36,1,1,1.4252972654674365,2.433460235595703,,
3,45,1,1,1.149277115719659,2.9792392253875732,,
3,17,1,1,1.0198600128731308,4.1099677085876465,,
3,6,1,1,1.413239637389779,3.120948553085327,,
3,12,0,1,1.157645490850721,2.96319317817688,,
4,40,0,1,0.7751770917006902,3.1690871715545654,,
4,5,0,1,1.0844878341212416,3.284883499145508,,
4,41,1,1,1.1413042310873667,3.166686773300171,,
4,10,0,1,0.9688524371385574,2.7380032539367676,,
4,24,1,1,0.7698220778595317,3.081472158432007,,
4,4,0,1,0.9385078897078832,2.4183590412139893,,
