round_num,client_id,is_malicious,was_selected,local_loss,gradient_norm,reputation_score,beta_params
1,13,0,1,1.033733180819488,2.7385809421539307,,"[1, 1]"
1,29,1,1,1.3807369692572231,2.506531238555908,,"[1, 1]"
1,22,0,1,1.543830353617668,2.1234285831451416,,"[1, 1]"
1,27,1,1,1.7689640197753906,2.471437931060791,,"[1, 1]"
1,9,0,1,1.5954913612206776,2.6903481483459473,,"[1, 1]"
1,8,0,1,1.6975820673836601,1.4287803173065186,,"[1, 1]"
1,4,0,1,1.4956986023320091,1.8592596054077148,,"[1, 1]"
1,36,1,1,1.6100288598433785,1.8337855339050293,,"[1, 1]"
1,17,1,1,1.1766706396551694,3.920743703842163,,"[1, 1]"
1,26,0,1,1.7660704511584657,2.5393025875091553,,"[1, 1]"
2,37,0,1,1.3280073068080804,3.153674602508545,,"[1, 1]"
2,3,1,1,1.5883523505181074,2.7633302211761475,,"[1, 1]"
2,7,0,1,0.9484012190176516,3.2066402435302734,,"[1, 1]"
2,22,0,1,1.336683000922203,2.2900102138519287,,"[2, 1]"
2,9,0,1,1.6549741848309836,2.72904896736145,,"[2, 1]"
2,44,1,1,1.4678034521066226,2.6559228897094727,,"[1, 1]"
2,2,0,1,0.9494302744215185,2.239229917526245,,"[1, 1]"
2,43,1,1,1.6926846335915957,2.3681392669677734,,"[1, 1]"
2,40,0,1,1.455952547958919,2.9706552028656006,,"[1, 1]"
2,21,0,1,1.8026225279359256,2.502476930618286,,"[1, 1]"
3,40,0,1,1.1955552860668728,3.0453941822052,,"[2, 1]"
3,38,0,1,1.6444942123360105,2.481112241744995,,"[1, 1]"
3,46,0,1,1.3443369126036053,3.4735703468322754,,"[1, 1]"
3,14,0,1,1.278085841554584,3.0747616291046143,,"[1, 1]"
3,10,0,1,1.495071715116501,2.5769643783569336,,"[1, 1]"
3,2,0,1,0.9675471406091344,2.394144296646118,,"[2, 1]"
3,37,0,1,1.1041753399066436,3.069814920425415,,"[2, 1]"
3,29,1,1,1.143848815252041,2.7256414890289307,,"[2, 1]"
3,33,0,1,1.645255586234006,2.974210739135742,,"[1, 1]"
3,23,0,1,1.5486976868765694,3.1571505069732666,,"[1, 1]"
4,15,1,1,1.4366529764667635,3.1089532375335693,,"[1, 1]"
4,27,1,1,1.6171499609947204,2.8632149696350098,,"[2, 1]"
4,12,0,1,1.2633531815665109,2.522698402404785,,"[1, 1]"
4,22,0,1,1.3951038223505021,2.6620922088623047,,"[3, 1]"
4,35,0,1,1.4359690938677108,2.7012686729431152,,"[1, 1]"
4,47,0,1,0.8677268084726836,3.0753650665283203,,"[1, 1]"
4,7,0,1,0.8083512303780537,3.004342555999756,,"[2, 1]"
4,16,1,1,1.3990239935616653,3.26839542388916,,"[1, 1]"
4,20,1,1,1.2652958561212588,3.1339902877807617,,"[1, 1]"
4,29,1,1,1.2732100848493906,3.1369874477386475,,"[3, 1]"
5,19,0,1,1.3022795515901902,2.3626418113708496,,"[1, 1]"
5,2,0,1,0.8443423382260583,2.3627490997314453,,"[2, 2]"
5,5,0,1,1.2585674130555355,2.641434669494629,,"[1, 1]"
5,29,1,1,1.2427142217241485,2.9988248348236084,,"[4, 1]"
5,20,1,1,1.1412831358420543,3.0719122886657715,,"[2, 1]"
5,49,1,1,1.2489345058246895,3.819021701812744,,"[1, 1]"
5,9,0,1,1.2947065377235412,2.984119415283203,,"[3, 1]"
5,37,0,1,1.033551323413849,2.9864842891693115,,"[3, 1]"
5,27,1,1,1.2915677926540374,2.614757776260376,,"[3, 1]"
5,23,0,1,1.3158681106567383,2.9517464637756348,,"[2, 1]"
6,43,1,1,1.1319562736679525,1.983932375907898,,"[2, 1]"
6,24,1,1,0.8991896773829605,3.1558852195739746,,"[1, 1]"
6,21,0,1,1.2149423171492184,2.386937379837036,,"[2, 1]"
6,36,1,1,1.4340379569841468,2.8370702266693115,,"[1, 2]"
6,9,0,1,1.294314945936203,3.3017494678497314,,"[4, 1]"
6,18,0,1,0.78829951070506,3.76961350440979,,"[1, 1]"
6,26,0,1,1.3531745520505039,3.3111484050750732,,"[2, 1]"
6,23,0,1,1.395431455544063,3.193422794342041,,"[3, 1]"
6,37,0,1,1.037509350746106,3.450371742248535,,"[4, 1]"
6,40,0,1,0.9226199557100023,2.9268274307250977,,"[3, 1]"
7,29,1,1,0.8544481912049754,3.0192477703094482,,"[5, 1]"
7,26,0,1,1.191666462204673,3.1989638805389404,,"[3, 1]"
7,17,1,1,0.891228715549497,3.966341495513916,,"[1, 2]"
7,30,0,1,1.37959242848789,2.1714651584625244,,"[1, 1]"
7,39,0,1,0.38080451109103464,2.3528528213500977,,"[1, 1]"
7,9,0,1,1.0896921380360922,3.16365909576416,,"[5, 1]"
7,11,0,1,0.9759348201480779,3.4030072689056396,,"[1, 1]"
7,15,1,1,1.0480029129212902,2.9546539783477783,,"[2, 1]"
7,20,1,1,1.1013641021190546,3.344395160675049,,"[3, 1]"
7,36,1,1,1.3399418576903965,2.500394821166992,,"[2, 2]"
8,21,0,1,0.7333289386594997,2.177853584289551,,"[2, 2]"
8,14,0,1,0.9923423151175181,3.2515335083007812,,"[2, 1]"
8,9,0,1,1.0808981722593307,3.2224252223968506,,"[6, 1]"
8,24,1,1,0.8667881945768993,3.13470458984375,,"[2, 1]"
8,12,0,1,1.0392267407689775,3.1294920444488525,,"[1, 2]"
8,11,0,1,0.9079966698180545,3.3312976360321045,,"[2, 1]"
8,45,1,1,0.9066927594484739,3.186652660369873,,"[1, 1]"
8,26,0,1,1.2240091273278901,3.2180263996124268,,"[4, 1]"
